id,name,state,cases,deaths,cases per population
01053,Herzogtum Lauenburg,Schleswig-Holstein,21,0,0.0106456322491686
03255,Holzminden,Niedersachsen,21,0,0.0295878830574146
07235,Trier-Saarburg,Rheinland-Pfalz,21,0,0.0140991641209843
08211,Baden-Baden,Baden-Württemberg,21,0,0.0380966202855432
09661,Aschaffenburg,Bayern,21,0,0.0297758305329874
13076,Ludwigslust-Parchim,Mecklenburg-Vorpommern,21,0,0.00987686837426747
14627,Meißen,Sachsen,21,0,0.00867177337765573
16053,Jena,Thüringen,21,0,0.0188498029746784
03451,Ammerland,Niedersachsen,20,0,0.0161198023712229
09171,Altötting,Bayern,20,0,0.0179839942451218
09363,Weiden i.d. OPf.,Bayern,20,0,0.0470366886171214
09478,Lichtenfels,Bayern,20,0,0.0299230976390676
09572,Erlangen-Höchstadt,Bayern,20,0,0.0146766369953989
12052,Cottbus,Brandenburg,20,0,0.0199562957123899
07336,Kusel,Rheinland-Pfalz,19,0,0.0269404191362051
09474,Forchheim,Bayern,19,0,0.0163653433707439
03153,Goslar,Niedersachsen,18,0,0.0131373436291182
07231,Bernkastel-Wittlich,Rheinland-Pfalz,18,0,0.0160339206499082
08121,Heilbronn,Baden-Württemberg,18,0,0.0142902508732931
09181,Landsberg am Lech,Bayern,18,1,0.0149911302479366
09186,Pfaffenhofen a.d. Ilm,Bayern,18,0,0.0141563967251536
09371,Amberg-Sulzbach,Bayern,18,0,0.0174572539739499
09373,Neumarkt i.d. OPf.,Bayern,18,0,0.0134769880429167
09573,Fürth,Bayern,18,0,0.0153338955761711
09663,Würzburg,Bayern,18,6,0.0140756959649672
09771,Aichach-Friedberg,Bayern,18,0,0.0134734572891404
01054,Nordfriesland,Schleswig-Holstein,17,0,0.0102714688804703
01062,Stormarn,Schleswig-Holstein,17,0,0.00699024655010773
05117,Mülheim an der Ruhr,Nordrhein-Westfalen,17,0,0.00994850187265918
06437,Odenwaldkreis,Hessen,17,0,0.0175623463294696
06535,Vogelsbergkreis,Hessen,17,0,0.0160562156444209
07314,Ludwigshafen am Rhein,Rheinland-Pfalz,17,0,0.00993797534212942
07333,Donnersbergkreis,Rheinland-Pfalz,17,0,0.0226361832731921
09562,Erlangen,Bayern,17,0,0.0151837230488916
13072,Rostock,Mecklenburg-Vorpommern,17,0,0.00790282316735855
13074,Nordwestmecklenburg,Mecklenburg-Vorpommern,17,0,0.0108467482086914
03102,Salzgitter,Niedersachsen,16,0,0.0152456454625148
03154,Helmstedt,Niedersachsen,16,0,0.0175233005136517
03157,Peine,Niedersachsen,16,0,0.0119434180569552
05915,Hamm,Nordrhein-Westfalen,16,0,0.00893300802295783
09764,Memmingen,Bayern,16,0,0.0364988480051098
12061,Dahme-Spreewald,Brandenburg,16,0,0.00946370373875446
14523,Vogtlandkreis,Sachsen,16,0,0.00702382833763543
16073,Saalfeld-Rudolstadt,Thüringen,16,0,0.0150438151115123
16074,Saale-Holzland-Kreis,Thüringen,16,0,0.0192652707372578
03103,Wolfsburg,Niedersachsen,15,0,0.0120820613607623
04012,Bremerhaven,Bremen,15,0,0.013200274565711
05970,Siegen-Wittgenstein,Nordrhein-Westfalen,15,0,0.00539161065382265
05978,Unna,Nordrhein-Westfalen,15,0,0.00379956532972628
15084,Burgenlandkreis,Sachsen-Anhalt,15,0,0.00832454631222598
03256,Nienburg (Weser),Niedersachsen,14,0,0.0115334552584318
03458,Oldenburg,Niedersachsen,14,0,0.0107573149741824
07312,Kaiserslautern,Rheinland-Pfalz,14,0,0.0140217336872152
07335,Kaiserslautern,Rheinland-Pfalz,14,0,0.0132004488152597
08231,Pforzheim,Baden-Württemberg,14,0,0.0111516464609453
08237,Freudenstadt,Baden-Württemberg,14,0,0.0118709458600076
09672,Bad Kissingen,Bayern,14,0,0.0135635257416342
09674,Haßberge,Bayern,14,0,0.0165486589676001
15088,Saalekreis,Sachsen-Anhalt,14,0,0.0075847049008029
01001,Flensburg,Schleswig-Holstein,13,0,0.0145244905255631
05120,Remscheid,Nordrhein-Westfalen,13,0,0.0117123448114312
05366,Euskirchen,Nordrhein-Westfalen,13,0,0.00674133997096038
05513,Gelsenkirchen,Nordrhein-Westfalen,13,0,0.00498745463334535
08327,Tuttlingen,Baden-Württemberg,13,0,0.00927564358696273
08337,Waldshut,Baden-Württemberg,13,1,0.00761931555102304
09272,Freyung-Grafenau,Bayern,13,0,0.0165911556378023
09476,Kronach,Bayern,13,0,0.0193639681239294
09477,Kulmbach,Bayern,13,0,0.0180945090124574
09576,Roth,Bayern,13,0,0.0102396067990989
09677,Main-Spessart,Bayern,13,0,0.0102876587662723
12072,Teltow-Fläming,Brandenburg,13,0,0.0077244854304321
13073,Vorpommern-Rügen,Mecklenburg-Vorpommern,13,0,0.00578590375816703
15089,Salzlandkreis,Sachsen-Anhalt,13,0,0.00682199832073887
16066,Schmalkalden-Meiningen,Thüringen,13,0,0.0106255159505341
01051,Dithmarschen,Schleswig-Holstein,12,0,0.00900833270775467
